# SLAM trajectory after alignment and scaling (2D only, Z=0)
# Transformations applied:
#   1. Mirror Y-axis
#   2. Rotate 120° CCW
#   3. Scale by 16.8026
#   4. Zero at origin (first pose)
#   5. Z coordinate set to 0 (2D trajectory)
# Quaternions set to identity (original orientations invalid after transform)
# Format: t x y z qx qy qz qw
0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
1.566666722 -2.021296865 2.825843391 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
4.866666794 -17.525059705 37.419303495 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
6.099999905 -49.310046002 107.904842266 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
7.400000095 -80.012853938 181.419295218 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
8.433333397 -98.162231917 241.203842724 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
9.600000381 -38.601689082 280.087319654 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
10.933333397 36.948777302 314.904065706 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
12.333333015 117.694441092 348.169198668 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
13.633333206 189.297452963 381.231573458 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
14.966666222 265.692365002 421.077485564 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
16.266666412 338.854286378 449.997318876 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
17.633333206 413.147130139 487.666643990 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
18.933332443 482.806660613 517.256499328 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
20.266666412 556.995289475 551.042025460 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
21.600000381 629.330703526 582.135522465 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
22.766666412 693.406608752 579.397426894 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
23.733333588 708.918206822 527.567341426 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
24.799999237 655.950216714 500.496297868 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
25.866666794 600.076439710 474.362577108 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
26.966667175 541.438832985 447.342114390 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
28.133333206 476.536807722 416.946075969 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
29.200000763 421.790605854 390.275489170 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
30.266666412 361.547084287 360.697301605 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
31.399999619 303.010577319 332.735902196 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
32.566665649 236.179582706 300.662938161 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
33.733333588 173.197751082 269.169731417 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
34.933334351 106.885429402 235.801384860 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
36.166667938 40.082618190 202.191634061 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
37.599998474 27.750017380 137.081281365 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
38.700000763 89.432852429 133.020163932 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
39.933334351 160.123646092 163.906451269 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
41.200000763 229.741709062 194.785614247 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
42.333332062 292.052733949 223.988254485 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
43.533332825 356.884806890 253.559771906 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
44.599998474 415.755688762 281.893531761 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
45.666667938 473.586658506 308.568406898 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
46.700000763 531.484698269 333.534247504 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
47.799999237 589.677973411 360.062764832 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
48.966667175 650.892398037 386.377778229 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
50.000000000 704.244809651 411.020198139 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
50.766666412 744.160622207 423.701177211 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
51.700000763 779.018844076 381.530978339 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
52.633335114 759.547736020 339.989409958 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
53.666667938 705.173692554 315.604852929 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
54.599998474 659.717980978 295.513778215 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
55.400001526 618.028984288 278.112839960 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
56.233333588 572.687757051 255.859038426 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
56.866664886 538.292204906 241.764013033 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
56.966667175 531.654615988 239.319504710 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
57.000000000 531.262002207 239.330362700 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
57.033332825 528.815482662 238.341802592 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
57.066665649 526.237703680 237.547003853 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
57.099998474 526.428914262 237.018015149 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
57.166667938 521.718796991 234.687017185 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
57.200000763 519.600861582 233.871059092 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
57.233333588 518.300627814 232.953678892 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
57.266666412 516.369718751 232.644858830 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
57.299999237 514.418186211 231.244299604 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
57.400001526 510.991616331 229.651397575 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
57.433334351 508.708261089 228.865824825 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
57.466667175 506.413797103 227.527238093 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
57.500000000 504.629609326 226.129109960 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
57.599998474 498.457910149 225.173983517 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
58.433334351 452.231161366 204.528558792 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
59.299999237 404.246236858 183.062907079 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
60.266666412 349.502573209 159.230802674 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
61.299999237 291.735309013 132.747673803 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
62.266666412 237.476803251 107.899305981 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
63.333332062 178.696767851 81.668756074 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
64.233329773 128.255759537 54.281438533 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
65.199996948 150.263911237 0.184172670 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
66.199996948 209.622499539 0.866555029 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
67.333335876 273.692421496 29.142340341 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
68.266670227 327.392798787 54.249659822 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
69.166664124 378.955495844 77.414878594 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
69.966667175 426.648337794 98.608875677 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
70.833335876 475.928439151 120.671530134 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
71.699996948 522.953984868 143.532424881 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
72.433334351 563.848700917 159.267262844 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
73.166664124 592.702968573 128.909548847 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
73.733329773 599.903214131 95.080969352 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
74.266670227 576.554194092 76.855635586 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
75.000000000 530.557482489 71.888368338 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
75.866668701 476.038728476 63.100925949 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
76.733329773 421.029174257 57.022313206 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
77.466667175 373.905409655 50.207060927 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
78.199996948 324.580119990 44.892162489 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
79.099998474 267.825475989 37.488970916 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
80.166664124 199.067591795 30.081317343 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
81.233329773 129.359819440 22.565073738 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
82.333335876 59.524979557 14.580255130 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
83.233329773 -0.990311897 4.707668196 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
85.633331299 1.375800289 -1.684874754 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
85.766670227 1.640092230 -1.478183652 0.000000000 0.000000000 0.000000000 0.000000000 1.000000000
